EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,Education,BusinessTravel,MonthlyIncome,HourlyRate,DailyRate,MonthlyRate,PercentSalaryHike,StockOptionLevel,JobLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,TrainingTimesLastYear,NumCompaniesWorked,OverTime,DistanceFromHome,StandardHours,EmployeeCount,Over18,DateOfJoining,Attrition
EMP0018,59,Female,Single,Marketing,Content Writer,Medical,4,Travel_Rarely,52425,45,1079,2812,15,3,5,3,2,1,2,3,3,28,14,0,3,29,1,9,No,22,80,1,Y,01-04-1995,No
EMP0019,28,Male,Divorced,Sales,Sales Manager,Other,2,Travel_Rarely,136635,57,1041,26284,20,0,1,4,2,1,2,3,4,21,1,2,3,10,3,4,Yes,17,80,1,Y,27-03-2002,No
EMP0020,26,Female,Married,Finance,CFO,Technical Degree,2,Non-Travel,68634,114,264,12130,23,0,2,1,2,3,1,1,3,8,16,3,16,13,5,9,Yes,4,80,1,Y,01-05-2015,Yes
EMP0021,52,Male,Single,IT,IT Manager,Human Resources,1,Non-Travel,101988,101,1290,25952,16,0,1,4,4,2,4,4,1,9,15,10,6,9,6,1,No,7,80,1,Y,04-10-2014,No
EMP0022,44,Female,Married,IT,IT Manager,Life Sciences,2,Travel_Frequently,121337,39,632,19254,24,3,1,4,4,1,2,4,2,27,16,7,5,7,1,9,No,29,80,1,Y,02-07-1996,No
EMP0023,31,Female,Single,Sales,Sales Director,Medical,4,Non-Travel,82443,39,1273,17227,20,3,3,2,3,3,1,1,3,27,3,12,7,30,5,3,No,29,80,1,Y,27-03-1996,No
EMP0024,53,Female,Divorced,Finance,Finance Manager,Technical Degree,1,Travel_Rarely,44424,143,314,15760,14,2,5,3,2,3,3,3,1,20,17,0,6,5,6,4,Yes,28,80,1,Y,28-03-2003,No
EMP0025,51,Female,Divorced,Marketing,Content Writer,Technical Degree,5,Travel_Rarely,103844,39,768,10826,12,0,5,3,3,1,3,3,2,23,3,11,7,18,6,7,Yes,9,80,1,Y,04-05-2000,No
EMP0026,52,Male,Married,Human Resources,HR Executive,Technical Degree,1,Travel_Rarely,56984,102,841,15939,19,1,2,1,3,4,2,1,1,1,2,1,8,18,6,1,No,26,80,1,Y,25-08-2022,No
EMP0027,39,Male,Married,Finance,CFO,Life Sciences,1,Travel_Frequently,56505,57,694,2668,12,3,4,2,3,2,2,1,4,7,17,10,0,11,1,1,No,3,80,1,Y,29-07-2016,Yes
EMP0028,57,Male,Single,Sales,Account Manager,Marketing,5,Travel_Frequently,117478,53,1492,19677,12,0,3,2,1,4,3,2,4,26,4,4,2,38,2,1,No,20,80,1,Y,18-03-1997,Yes
EMP0029,23,Female,Divorced,IT,IT Manager,Other,4,Non-Travel,77699,48,1140,10460,23,2,2,2,3,4,1,1,2,21,8,5,10,17,2,7,No,21,80,1,Y,14-07-2002,No
EMP0030,35,Male,Single,Marketing,Content Writer,Other,3,Travel_Frequently,129012,126,1303,10673,22,0,2,2,2,2,1,4,2,26,14,4,15,2,0,2,No,5,80,1,Y,11-01-1997,No
EMP0031,34,Male,Divorced,Finance,Finance Manager,Human Resources,3,Travel_Frequently,49758,97,1167,5390,12,2,5,2,4,2,1,1,2,28,8,12,5,8,0,4,No,18,80,1,Y,19-06-1995,No
EMP0032,50,Male,Married,Human Resources,HR Director,Marketing,5,Travel_Rarely,31374,85,1021,11453,11,2,3,3,2,1,4,3,4,2,13,2,1,5,1,1,No,29,80,1,Y,23-10-2021,No
EMP0033,33,Male,Single,Human Resources,HR Manager,Other,4,Travel_Rarely,133686,96,401,17904,23,3,5,3,4,1,2,3,4,12,1,9,3,0,2,5,No,21,80,1,Y,01-02-2011,No
EMP0034,23,Female,Single,Research & Development,R&D Manager,Human Resources,2,Non-Travel,18775,71,848,17396,22,2,4,4,1,1,4,3,1,9,17,6,4,39,5,9,No,26,80,1,Y,04-11-2014,No
EMP0035,53,Female,Divorced,Research & Development,Research Scientist,Human Resources,5,Travel_Rarely,42388,41,759,26678,22,2,5,3,1,2,4,4,4,8,12,11,13,28,0,5,Yes,17,80,1,Y,08-09-2015,No
EMP0036,34,Male,Divorced,Operations,Logistics Executive,Technical Degree,3,Travel_Frequently,138800,47,1241,23933,13,1,1,2,2,4,4,4,2,26,15,0,0,34,0,1,Yes,7,80,1,Y,24-05-1997,No
EMP0037,48,Male,Divorced,Sales,Sales Director,Medical,4,Non-Travel,36029,52,677,23271,16,2,5,4,1,2,4,2,3,33,5,1,13,34,2,3,No,14,80,1,Y,16-01-1990,No
EMP0038,38,Male,Married,Finance,Finance Analyst,Technical Degree,1,Non-Travel,98981,113,687,6334,17,1,1,3,4,1,1,1,3,0,15,10,12,29,5,1,No,15,80,1,Y,11-10-2023,No
EMP0039,52,Female,Single,Finance,Finance Manager,Life Sciences,4,Travel_Rarely,68639,35,1182,24068,11,1,2,4,1,4,2,2,2,31,3,13,15,34,0,9,Yes,21,80,1,Y,18-11-1992,No
EMP0040,55,Female,Divorced,Operations,Operations Manager,Other,4,Travel_Rarely,129010,82,978,25134,24,0,4,3,3,1,2,1,4,24,9,11,3,38,3,3,Yes,22,80,1,Y,20-09-1999,No
EMP0041,45,Female,Married,IT,System Admin,Human Resources,3,Travel_Rarely,46105,127,539,18285,15,0,1,1,3,4,4,1,2,28,10,8,5,21,6,6,Yes,14,80,1,Y,23-04-1995,No
EMP0042,56,Male,Divorced,IT,Data Engineer,Medical,3,Non-Travel,141519,71,811,4235,15,3,4,3,1,1,2,4,4,6,4,13,8,27,5,4,Yes,9,80,1,Y,11-06-2017,Yes
EMP0043,27,Female,Single,Operations,Operations Manager,Other,2,Travel_Rarely,117739,95,315,23367,11,3,5,4,2,2,3,3,3,2,17,3,0,17,3,9,No,16,80,1,Y,12-07-2021,Yes
EMP0044,40,Female,Divorced,IT,Software Engineer,Human Resources,2,Travel_Frequently,66796,59,273,26136,14,3,5,1,3,3,1,1,1,19,2,7,16,31,2,3,No,19,80,1,Y,30-03-2004,No
EMP0045,51,Female,Single,Research & Development,Lab Technician,Human Resources,5,Non-Travel,30804,38,1492,7019,20,2,2,2,4,3,2,4,4,19,7,8,3,4,2,9,Yes,1,80,1,Y,26-02-2004,Yes
EMP0046,28,Female,Married,Finance,Finance Manager,Technical Degree,1,Travel_Rarely,142732,120,315,26425,11,0,5,4,2,4,1,2,1,29,10,6,5,33,0,9,No,8,80,1,Y,17-01-1994,Yes
EMP0047,31,Female,Married,Operations,Logistics Executive,Medical,2,Travel_Frequently,22951,71,1387,20961,23,2,1,2,1,2,3,3,3,34,2,0,15,30,1,2,No,18,80,1,Y,24-01-1989,Yes
EMP0048,53,Male,Divorced,Finance,Finance Manager,Medical,3,Travel_Frequently,34065,63,1445,2675,24,0,2,2,2,1,1,2,1,34,11,4,6,32,4,5,No,2,80,1,Y,13-01-1989,No
EMP0049,55,Male,Single,Human Resources,HR Director,Other,4,Travel_Rarely,116503,69,325,20823,11,2,4,4,2,4,3,2,1,26,14,5,4,3,3,1,Yes,26,80,1,Y,12-12-1997,No
EMP0050,49,Male,Single,Research & Development,R&D Manager,Human Resources,5,Travel_Frequently,120072,117,856,11873,22,3,2,2,2,4,4,4,2,25,15,13,8,13,3,3,Yes,29,80,1,Y,17-10-1998,No
EMP0051,36,Male,Single,Marketing,Marketing Executive,Medical,2,Non-Travel,104360,142,1399,7587,17,0,4,4,2,1,2,3,1,13,4,10,0,14,5,7,No,4,80,1,Y,19-06-2010,No
EMP0052,51,Female,Divorced,Research & Development,Lab Technician,Medical,4,Non-Travel,77287,46,863,7945,17,0,3,4,1,1,4,1,3,16,5,7,7,19,5,1,Yes,21,80,1,Y,14-02-2007,No
EMP0053,58,Male,Single,Operations,Operations Analyst,Other,4,Travel_Frequently,122357,58,1190,6767,13,1,1,3,1,1,2,2,4,17,11,9,3,19,2,8,Yes,1,80,1,Y,03-01-2007,No
EMP0054,50,Male,Single,Marketing,Marketing Executive,Technical Degree,2,Non-Travel,44670,129,1217,9004,17,0,1,1,3,2,4,1,1,28,8,14,16,34,6,1,Yes,27,80,1,Y,23-11-1995,No
EMP0055,43,Male,Single,Human Resources,Recruiter,Marketing,1,Travel_Rarely,64112,79,1058,9728,13,0,4,2,3,3,3,3,4,19,17,12,0,3,1,7,No,19,80,1,Y,23-10-2004,No
EMP0056,25,Female,Single,Operations,Operations Analyst,Life Sciences,1,Travel_Frequently,103388,105,284,8609,12,2,5,2,4,4,2,4,2,26,2,7,1,17,2,7,No,11,80,1,Y,11-05-1997,No
EMP0057,41,Male,Divorced,Sales,Sales Manager,Marketing,5,Non-Travel,104156,124,832,23318,20,3,5,1,4,4,4,4,3,17,13,12,13,23,0,6,No,24,80,1,Y,04-03-2006,No
EMP0058,53,Female,Divorced,Finance,CFO,Medical,1,Travel_Rarely,62922,78,650,22032,14,1,3,1,3,3,1,4,3,3,4,11,1,26,1,9,Yes,6,80,1,Y,24-05-2020,No
EMP0059,57,Female,Single,Human Resources,HR Manager,Human Resources,5,Travel_Rarely,108348,102,717,9131,24,2,4,1,3,4,1,1,4,0,4,13,0,32,0,5,Yes,19,80,1,Y,17-11-2023,Yes
EMP0060,25,Female,Single,Finance,Accountant,Life Sciences,3,Non-Travel,94335,90,1045,19696,20,0,3,1,2,2,4,1,3,0,3,8,12,24,3,0,No,14,80,1,Y,30-11-2023,No
EMP0061,48,Male,Married,IT,System Admin,Life Sciences,2,Travel_Frequently,41312,112,894,6099,13,2,4,1,3,1,3,3,2,25,15,8,7,4,2,1,Yes,28,80,1,Y,26-08-1998,No
EMP0062,38,Female,Married,Sales,Account Manager,Human Resources,4,Travel_Rarely,81985,75,749,20038,22,3,3,3,4,3,4,1,4,19,12,14,8,17,5,6,Yes,23,80,1,Y,14-09-2004,No
EMP0063,33,Male,Single,Sales,Account Manager,Life Sciences,5,Travel_Rarely,145744,75,1128,17859,17,1,4,4,3,2,1,4,3,22,7,3,1,19,2,3,Yes,27,80,1,Y,01-07-2001,No
EMP0064,43,Male,Single,Human Resources,HR Director,Human Resources,1,Travel_Rarely,115963,46,315,17582,22,2,1,1,2,1,2,2,2,9,15,5,16,34,4,8,Yes,22,80,1,Y,24-11-2014,No
EMP0065,38,Male,Married,Sales,Sales Director,Life Sciences,5,Travel_Rarely,46551,95,1231,24402,22,0,3,3,4,3,2,2,2,10,1,2,5,5,1,2,No,21,80,1,Y,26-02-2013,No
EMP0066,31,Female,Married,Marketing,Brand Manager,Other,5,Travel_Frequently,104813,133,1441,19669,11,2,3,1,1,2,4,2,1,4,7,0,2,26,6,3,No,24,80,1,Y,14-12-2019,No
EMP0067,22,Female,Single,Sales,Sales Director,Other,1,Non-Travel,116025,34,603,26236,16,0,4,1,3,3,2,4,3,0,2,12,16,27,3,2,Yes,24,80,1,Y,19-06-2023,Yes
EMP0068,43,Male,Divorced,Finance,CFO,Marketing,1,Non-Travel,139342,132,503,25430,24,1,2,2,1,3,1,1,4,16,8,12,5,10,4,6,No,19,80,1,Y,14-06-2007,Yes
EMP0069,47,Female,Divorced,Finance,CFO,Life Sciences,2,Non-Travel,24637,83,939,13639,12,1,2,2,4,2,2,2,1,21,10,5,7,8,4,1,No,24,80,1,Y,26-02-2002,No
EMP0070,39,Female,Single,Operations,Operations Manager,Technical Degree,4,Travel_Rarely,58258,141,287,7180,18,2,1,2,3,4,4,1,4,33,0,0,13,27,2,9,No,26,80,1,Y,08-02-1990,No
EMP0071,35,Female,Single,Finance,CFO,Human Resources,2,Travel_Frequently,144553,45,1233,19763,24,1,5,2,1,2,4,1,1,28,0,8,9,18,1,1,Yes,25,80,1,Y,17-04-1995,No
EMP0072,50,Male,Married,Operations,Supply Chain Manager,Life Sciences,2,Non-Travel,41950,110,507,18192,15,3,5,4,3,3,4,4,2,3,7,10,9,38,2,1,No,13,80,1,Y,08-08-2020,No
EMP0073,33,Female,Married,Finance,Finance Manager,Other,1,Travel_Frequently,142870,147,633,19029,13,2,1,4,1,3,1,1,1,4,15,5,14,20,1,3,Yes,12,80,1,Y,03-01-2019,No
EMP0074,57,Female,Divorced,Marketing,Brand Manager,Other,1,Non-Travel,15215,120,1001,26599,20,0,5,2,1,2,3,1,1,10,9,0,7,30,4,7,No,29,80,1,Y,04-03-2013,No
EMP0075,56,Male,Single,Operations,Supply Chain Manager,Human Resources,4,Travel_Rarely,120603,36,363,7412,17,2,4,2,4,1,2,4,1,20,1,10,10,6,0,7,No,10,80,1,Y,08-12-2003,No
EMP0076,33,Female,Married,Research & Development,Data Analyst,Technical Degree,5,Non-Travel,26523,145,1462,6652,24,0,2,1,3,1,4,3,3,34,15,12,15,36,3,7,No,19,80,1,Y,12-10-1989,No
EMP0077,28,Male,Divorced,IT,Software Engineer,Life Sciences,2,Travel_Rarely,83689,37,1195,8834,21,1,1,1,1,1,3,2,1,11,3,2,2,24,4,7,No,11,80,1,Y,11-02-2012,No
EMP0078,50,Female,Divorced,Human Resources,HR Manager,Life Sciences,4,Travel_Rarely,38834,101,855,6451,12,0,4,2,3,1,4,2,2,25,8,0,14,27,2,6,Yes,24,80,1,Y,29-04-1998,No
EMP0079,32,Female,Divorced,Finance,Finance Manager,Technical Degree,2,Non-Travel,49474,116,217,24487,15,0,1,2,3,2,4,1,4,18,2,1,12,35,6,5,No,24,80,1,Y,26-05-2005,No
EMP0080,54,Female,Married,Sales,Sales Executive,Technical Degree,5,Travel_Frequently,58066,125,1294,9084,21,0,2,2,2,4,1,3,3,6,10,5,10,16,6,6,No,12,80,1,Y,28-12-2017,No
EMP0081,27,Female,Married,Finance,Accountant,Technical Degree,2,Travel_Rarely,25400,136,1398,14862,18,0,5,1,4,1,1,4,2,6,7,6,13,25,3,4,No,7,80,1,Y,21-09-2017,No
EMP0082,36,Female,Single,Sales,Account Manager,Other,3,Travel_Frequently,140211,140,1010,22508,23,3,4,2,3,3,3,1,3,25,6,0,6,27,4,7,No,8,80,1,Y,05-02-1998,No
EMP0083,53,Female,Single,IT,System Admin,Human Resources,4,Non-Travel,25345,111,538,16692,21,0,2,2,3,1,4,4,4,4,0,9,14,36,1,1,No,17,80,1,Y,12-04-2019,No
EMP0084,32,Male,Divorced,IT,IT Manager,Technical Degree,1,Travel_Rarely,48896,67,447,18748,11,2,1,4,3,4,2,2,4,20,7,4,5,16,6,4,Yes,3,80,1,Y,13-08-2003,No
EMP0085,44,Female,Divorced,IT,IT Manager,Human Resources,2,Travel_Frequently,43899,83,1416,4655,11,3,3,4,4,2,2,4,4,13,16,5,6,16,2,6,Yes,6,80,1,Y,27-09-2010,No
EMP0086,47,Female,Married,Sales,Sales Director,Marketing,4,Travel_Rarely,43229,105,505,26984,13,0,4,1,4,4,2,2,3,3,10,14,13,32,6,8,Yes,12,80,1,Y,15-12-2020,No
EMP0087,55,Female,Married,Finance,Finance Manager,Life Sciences,4,Non-Travel,20583,44,403,9433,13,0,1,4,3,4,3,4,3,22,6,3,3,33,4,9,Yes,15,80,1,Y,06-03-2001,No
EMP0088,55,Male,Single,IT,Data Engineer,Life Sciences,2,Travel_Rarely,86537,121,1052,3314,23,0,1,1,4,4,1,4,4,19,8,5,8,22,1,0,No,23,80,1,Y,19-04-2004,No
EMP0089,50,Male,Single,Marketing,Marketing Manager,Medical,1,Non-Travel,89807,148,1346,16902,17,3,2,3,2,1,3,3,4,14,13,4,6,29,1,8,Yes,7,80,1,Y,15-04-2009,Yes
EMP0090,25,Male,Single,Operations,Logistics Executive,Marketing,1,Travel_Frequently,144648,131,646,7272,16,0,1,2,4,1,1,4,2,28,4,12,14,26,1,2,Yes,27,80,1,Y,16-01-1995,Yes
EMP0091,38,Female,Married,Sales,Sales Director,Technical Degree,2,Travel_Rarely,127652,79,912,2218,17,0,4,1,2,4,2,1,4,7,17,12,2,8,6,0,No,6,80,1,Y,06-09-2016,Yes
EMP0092,56,Female,Divorced,Sales,Sales Director,Technical Degree,4,Travel_Frequently,86792,85,632,6703,14,0,4,4,2,2,2,3,1,18,12,10,4,19,3,6,Yes,29,80,1,Y,25-02-2005,No
EMP0093,34,Male,Single,Finance,CFO,Other,1,Non-Travel,146300,124,1351,17994,21,1,1,3,2,1,1,1,3,27,4,6,16,22,2,2,Yes,12,80,1,Y,13-10-1996,No
EMP0094,36,Male,Single,Sales,Account Manager,Marketing,2,Non-Travel,52052,145,1021,23515,12,2,2,4,1,2,2,4,2,26,7,12,0,18,1,7,No,28,80,1,Y,27-01-1997,No
EMP0095,50,Male,Married,Sales,Account Manager,Technical Degree,2,Travel_Frequently,61032,38,1270,3539,12,0,4,1,4,1,3,4,3,3,14,3,0,36,4,1,Yes,12,80,1,Y,14-12-2020,Yes
EMP0096,50,Female,Single,IT,IT Manager,Medical,2,Travel_Frequently,48686,37,704,21817,20,2,3,3,3,2,1,3,4,14,3,0,15,3,1,3,Yes,27,80,1,Y,04-07-2009,No
EMP0097,32,Male,Divorced,Finance,Accountant,Human Resources,4,Non-Travel,91981,139,314,15145,11,1,5,4,2,1,2,2,1,34,0,1,13,12,2,1,Yes,4,80,1,Y,09-09-1989,No
EMP0098,53,Female,Married,IT,IT Manager,Life Sciences,1,Travel_Frequently,113802,48,1194,19986,24,1,2,3,3,4,4,3,4,0,5,5,10,37,5,3,Yes,21,80,1,Y,31-01-2023,No
EMP0099,23,Female,Single,Operations,Operations Analyst,Marketing,4,Non-Travel,148881,80,422,21088,23,0,2,2,2,3,2,2,3,2,11,13,13,11,5,0,No,9,80,1,Y,01-01-2022,No
EMP0100,35,Female,Single,Operations,Logistics Executive,Life Sciences,3,Travel_Frequently,57818,101,835,7064,24,2,5,2,3,3,4,2,2,23,6,12,7,8,3,9,Yes,17,80,1,Y,18-10-2000,No
EMP0101,41,Male,Married,IT,IT Manager,Human Resources,1,Non-Travel,115422,127,871,15788,19,3,5,3,1,2,2,4,3,26,12,9,1,14,1,4,No,2,80,1,Y,24-11-1997,Yes
EMP0102,43,Female,Married,Operations,Operations Manager,Marketing,4,Non-Travel,86927,86,1157,22032,24,0,4,4,2,2,4,1,2,33,6,12,9,20,4,2,No,5,80,1,Y,21-08-1990,No
EMP0103,32,Male,Single,Finance,Finance Analyst,Human Resources,1,Travel_Rarely,94465,97,1132,19489,24,3,1,4,1,4,2,3,1,28,8,10,4,14,2,8,No,21,80,1,Y,18-06-1995,No
EMP0104,48,Male,Divorced,Human Resources,HR Executive,Technical Degree,3,Non-Travel,128221,60,295,24120,17,1,1,4,1,4,4,3,4,23,0,1,14,4,6,3,No,28,80,1,Y,10-07-2000,No
EMP0105,24,Male,Married,IT,Software Engineer,Technical Degree,5,Non-Travel,52333,131,306,24196,20,1,3,2,4,2,1,4,4,23,12,12,0,4,1,5,Yes,23,80,1,Y,30-01-2000,No
EMP0106,38,Male,Divorced,Marketing,Marketing Executive,Technical Degree,2,Travel_Rarely,141457,32,831,13603,13,2,1,1,3,3,1,4,1,3,0,4,1,24,6,8,Yes,24,80,1,Y,13-06-2020,No
EMP0107,49,Female,Single,Marketing,Content Writer,Human Resources,4,Travel_Rarely,31576,128,897,4488,12,3,3,1,2,4,4,3,3,2,17,11,16,23,3,1,Yes,10,80,1,Y,08-06-2021,Yes
EMP0108,50,Female,Divorced,Sales,Sales Manager,Human Resources,3,Travel_Frequently,134875,112,231,20802,24,3,3,3,1,2,2,3,1,33,4,3,14,36,0,6,No,6,80,1,Y,15-03-1990,No
EMP0109,42,Female,Single,Operations,Operations Analyst,Human Resources,3,Travel_Frequently,54405,72,265,18411,13,0,2,4,3,4,3,1,4,22,2,6,7,30,5,2,No,6,80,1,Y,26-09-2001,No
EMP0110,37,Female,Single,Marketing,Marketing Executive,Life Sciences,1,Non-Travel,109000,58,1402,10207,17,2,2,3,4,4,3,4,2,22,1,3,13,33,4,0,No,21,80,1,Y,16-04-2001,No
EMP0111,58,Male,Single,Sales,Sales Manager,Human Resources,1,Travel_Frequently,46601,39,978,26908,15,2,4,1,3,1,3,1,4,4,9,6,7,13,5,8,Yes,5,80,1,Y,26-12-2019,No
EMP0112,41,Male,Single,Human Resources,HR Executive,Technical Degree,2,Travel_Frequently,82946,41,1115,14770,22,3,5,1,3,4,3,4,3,30,5,10,7,26,1,8,Yes,29,80,1,Y,13-01-1993,No
EMP0113,27,Male,Divorced,Finance,Finance Manager,Medical,1,Non-Travel,67116,75,748,9977,13,1,5,4,4,2,4,4,2,5,16,7,12,3,1,3,Yes,27,80,1,Y,28-11-2018,No
EMP0114,40,Male,Single,Finance,CFO,Human Resources,4,Travel_Rarely,119186,59,400,6661,19,2,3,3,4,4,1,1,3,9,12,6,4,22,0,8,Yes,8,80,1,Y,18-11-2014,No
EMP0115,26,Female,Single,Finance,Accountant,Medical,4,Travel_Rarely,77894,123,248,6549,12,1,5,4,4,2,1,2,4,6,16,1,9,37,2,6,Yes,21,80,1,Y,27-03-2017,No
EMP0116,24,Male,Divorced,Marketing,Marketing Executive,Technical Degree,4,Non-Travel,22465,111,986,22337,17,0,3,1,1,1,3,2,4,20,17,10,6,4,6,3,Yes,22,80,1,Y,14-08-2003,No
EMP0117,22,Female,Married,Human Resources,Recruiter,Human Resources,5,Non-Travel,71754,117,1150,22645,20,2,5,1,3,1,1,2,2,19,10,0,8,26,6,1,No,3,80,1,Y,25-03-2004,No
EMP0118,59,Male,Divorced,Marketing,Content Writer,Life Sciences,4,Non-Travel,107850,61,462,17029,16,2,4,4,4,3,4,4,3,2,12,4,13,13,6,4,No,14,80,1,Y,09-03-2021,No
EMP0119,36,Male,Divorced,Operations,Operations Manager,Life Sciences,1,Non-Travel,124765,102,1356,26507,16,0,2,3,3,1,3,1,2,21,10,12,5,6,0,7,Yes,5,80,1,Y,12-07-2002,No
EMP0120,55,Male,Divorced,Marketing,Marketing Executive,Medical,1,Non-Travel,107691,76,543,6973,24,2,2,2,3,1,4,2,2,3,9,12,9,17,6,9,No,15,80,1,Y,08-07-2020,No
EMP0121,56,Male,Single,Human Resources,Recruiter,Other,4,Non-Travel,53871,117,1399,10436,17,3,3,4,1,2,4,3,3,27,2,11,0,31,2,9,Yes,9,80,1,Y,19-08-1996,No
EMP0122,46,Female,Single,Human Resources,HR Executive,Life Sciences,3,Travel_Frequently,44511,92,210,12086,16,3,5,1,3,3,2,2,2,11,5,12,10,1,1,5,No,15,80,1,Y,10-09-2012,No
EMP0123,45,Female,Single,Operations,Operations Manager,Life Sciences,3,Travel_Frequently,95960,55,400,19740,12,0,1,2,1,1,4,1,1,4,6,6,7,19,0,4,Yes,19,80,1,Y,26-02-2019,No
EMP0124,33,Female,Married,Human Resources,HR Director,Life Sciences,3,Travel_Frequently,80776,32,1144,21851,21,1,4,4,4,4,2,4,2,12,4,11,5,28,5,3,Yes,16,80,1,Y,27-09-2011,No
EMP0125,39,Female,Single,Human Resources,HR Director,Technical Degree,2,Travel_Rarely,59462,52,1125,8964,15,1,5,2,4,3,3,1,4,22,8,0,16,25,6,5,Yes,8,80,1,Y,19-05-2001,Yes
EMP0126,36,Male,Married,Finance,Finance Analyst,Life Sciences,5,Non-Travel,47574,104,202,16842,13,2,1,4,3,1,4,4,3,29,9,10,3,37,5,2,No,15,80,1,Y,16-06-1994,No
EMP0127,37,Male,Single,Operations,Logistics Executive,Marketing,4,Non-Travel,117072,103,1437,25451,19,1,4,1,1,3,1,1,4,24,13,7,5,0,6,1,Yes,11,80,1,Y,19-03-1999,Yes
